,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,63.81,74,85,14.88,overcast clouds
1,Algiers,DZ,36.7525,3.042,57.02,94,75,6.91,moderate rain
2,Mont-De-Marsan,FR,44.0,-0.6667,60.28,57,0,6.91,clear sky
3,Hithadhoo,MV,-0.6,73.0833,83.44,68,0,13.27,clear sky
4,Daru,PG,-9.0763,143.2092,76.89,89,100,5.17,moderate rain
5,San Patricio,US,28.017,-97.5169,89.69,23,0,12.33,clear sky
6,Albany,US,42.6001,-73.9662,47.88,75,100,3.0,moderate rain
7,Bredasdorp,ZA,-34.5322,20.0403,64.2,72,16,14.07,few clouds
8,Te Anau,NZ,-45.4167,167.7167,47.52,97,55,0.92,broken clouds
9,Suixi,CN,33.8907,116.7747,50.07,85,100,6.82,overcast clouds
10,Chuy,UY,-33.6971,-53.4616,71.28,64,88,15.97,overcast clouds
11,Yuzhnyy,RU,53.2542,83.6936,16.18,57,0,11.18,clear sky
12,Luwuk,ID,-0.9516,122.7875,76.78,84,99,2.84,overcast clouds
13,Black River,JM,18.0264,-77.8487,84.27,54,53,6.29,broken clouds
14,Busselton,AU,-33.65,115.3333,64.26,83,95,18.59,overcast clouds
15,Cherskiy,RU,68.75,161.3,-12.35,99,100,5.46,overcast clouds
16,Butaritari,KI,3.0707,172.7902,80.47,75,100,14.76,overcast clouds
17,Maiduguri,NG,11.8464,13.1603,80.15,11,42,9.51,scattered clouds
18,Punta Arenas,CL,-53.15,-70.9167,53.71,66,100,0.0,light intensity shower rain
19,Baykit,RU,61.67,96.37,16.29,89,100,11.56,light snow
20,Kenai,US,60.5544,-151.2583,37.45,64,0,9.22,clear sky
21,Klyuchi,RU,52.2667,79.1667,15.51,91,100,10.22,overcast clouds
22,Chokurdakh,RU,70.6333,147.9167,-2.18,97,100,8.77,overcast clouds
23,Mataura,NZ,-46.1927,168.8643,45.84,99,27,1.21,scattered clouds
24,Tiksi,RU,71.6872,128.8694,-13.25,100,99,3.09,overcast clouds
25,Georgetown,MY,5.4112,100.3354,84.13,79,20,0.0,few clouds
26,Mentakab,MY,3.4865,102.3516,73.87,98,9,2.35,clear sky
27,Saint-Philippe,RE,-21.3585,55.7679,78.39,85,36,7.49,scattered clouds
28,Cap Malheureux,MU,-19.9842,57.6142,80.47,83,3,3.0,clear sky
29,Saskylakh,RU,71.9167,114.0833,-23.51,100,100,2.68,overcast clouds
30,Atuona,PF,-9.8,-139.0333,78.73,81,47,16.53,light rain
31,Zyryanka,RU,65.75,150.85,-6.12,97,100,3.49,overcast clouds
32,Rikitea,PF,-23.1203,-134.9692,79.21,73,6,12.39,clear sky
33,Casa Branca,BR,-21.7739,-47.0864,80.98,65,89,1.34,overcast clouds
34,Omsukchan,RU,62.5333,155.8,-7.6,98,100,3.47,overcast clouds
35,Avarua,CK,-21.2078,-159.775,77.05,94,20,5.75,light rain
36,Hilo,US,19.7297,-155.09,78.24,74,100,1.01,overcast clouds
37,Puerto Suarez,BO,-18.95,-57.8,77.56,73,75,4.61,broken clouds
38,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,64,40,12.66,scattered clouds
39,Gazimurskiy Zavod,RU,51.5461,118.3266,6.89,100,100,1.43,overcast clouds
40,Adrar,MR,20.5022,-10.0711,79.81,14,2,6.24,clear sky
41,Nikolskoye,RU,59.7035,30.7861,26.87,88,100,20.29,light snow
42,Faanui,PF,-16.4833,-151.75,81.72,73,13,14.29,few clouds
43,Saint George,US,37.1041,-113.5841,80.64,15,0,3.44,clear sky
44,Kantemirovka,RU,49.7089,39.8592,46.67,56,100,23.8,overcast clouds
45,Souillac,MU,-20.5167,57.5167,80.98,83,40,5.75,scattered clouds
46,Taoudenni,ML,22.6783,-3.9836,87.04,12,50,5.1,scattered clouds
47,Yellowknife,CA,62.456,-114.3525,2.41,66,100,4.0,overcast clouds
48,Shingu,JP,33.7333,135.9833,59.25,94,99,4.59,overcast clouds
49,Kiama,AU,-34.6833,150.8667,68.0,95,100,1.01,overcast clouds
50,Taltal,CL,-25.4,-70.4833,69.26,69,22,6.93,few clouds
51,Tetouan,MA,35.5711,-5.3724,56.17,77,20,6.91,few clouds
52,Qandala,SO,11.472,49.8728,77.81,63,7,3.33,clear sky
53,Pevek,RU,69.7008,170.3133,-6.45,98,100,8.23,overcast clouds
54,Clyde River,CA,70.4692,-68.5914,-1.97,84,100,5.75,light snow
55,Palmer,US,42.1584,-72.3287,51.96,76,100,0.0,light rain
56,Carnarvon,AU,-24.8667,113.6333,77.07,69,100,5.75,overcast clouds
57,Jamestown,US,42.097,-79.2353,39.02,58,100,18.99,overcast clouds
58,Umm Lajj,SA,25.0213,37.2685,68.54,51,0,21.65,clear sky
59,Kavaratti,IN,10.5669,72.642,82.18,70,3,1.48,clear sky
60,Killybegs,IE,54.6333,-8.45,53.31,69,11,4.14,few clouds
61,Petatlan,MX,17.5167,-101.2667,85.8,26,17,8.77,few clouds
62,Oranjemund,NA,-28.55,16.4333,61.39,80,0,5.44,clear sky
63,Kudymkar,RU,59.0173,54.656,32.4,89,100,15.05,overcast clouds
64,New Norfolk,AU,-42.7826,147.0587,56.91,84,6,2.39,clear sky
65,Marsa Matruh,EG,31.3525,27.2453,58.1,65,0,9.98,clear sky
66,Kapaa,US,22.0752,-159.319,76.48,66,75,16.11,broken clouds
67,Kurilsk,RU,45.2333,147.8833,41.54,93,100,29.21,overcast clouds
68,Townsville,AU,-19.25,146.8,76.08,78,19,6.91,few clouds
69,Port Elizabeth,ZA,-33.918,25.5701,66.49,85,100,3.44,overcast clouds
70,Mehamn,NO,71.0357,27.8492,23.95,67,100,25.86,light snow
71,Gat,IL,31.61,34.7642,55.4,67,0,2.57,clear sky
72,Geraldton,AU,-28.7667,114.6,73.81,88,40,8.05,scattered clouds
73,Nhulunbuy,AU,-12.2333,136.7667,75.81,94,86,3.44,overcast clouds
74,Vestmannaeyjar,IS,63.4427,-20.2734,46.83,92,100,19.77,light rain
75,Garissa,KE,-0.4536,39.6401,86.18,57,96,15.5,light rain
76,Vaini,TO,-21.2,-175.2,75.36,83,40,5.75,scattered clouds
77,Brae,GB,60.3964,-1.353,46.99,90,99,11.88,overcast clouds
78,Arona,ES,28.0996,-16.681,62.38,69,75,9.22,broken clouds
79,Dembi Dolo,ET,8.5333,34.8,70.18,26,76,3.87,broken clouds
80,Ixtapa,MX,20.7,-105.2,78.03,53,0,10.36,clear sky
81,Port Alfred,ZA,-33.5906,26.891,65.17,84,99,4.0,overcast clouds
82,Castro,BR,-24.7911,-50.0119,73.71,72,89,7.72,overcast clouds
83,Hervey Bay,AU,-25.2986,152.8535,73.26,81,63,5.95,light rain
84,Port Blair,IN,11.6667,92.75,78.84,94,20,2.3,mist
85,Leningradskiy,RU,69.3833,178.4167,-9.98,84,1,5.14,clear sky
86,Yar-Sale,RU,66.8333,70.8333,-6.86,91,66,7.74,broken clouds
87,Mahebourg,MU,-20.4081,57.7,80.89,83,40,5.75,scattered clouds
88,Ardakan,IR,32.31,54.0175,56.68,15,0,10.85,clear sky
89,Lebu,CL,-37.6167,-73.65,61.32,70,76,6.35,broken clouds
90,Airai,TL,-8.9266,125.4092,59.25,89,96,1.12,overcast clouds
91,Semirara,PH,12.0697,121.3986,82.27,79,54,18.9,broken clouds
92,Saint Anthony,US,45.0205,-93.218,32.9,37,0,23.02,clear sky
93,Ribeira Grande,PT,38.5167,-28.7,59.4,82,40,16.11,mist
