City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2022-03-23 13:38:42,42.097,-79.2353,45.01,25,100,17.27
1,Cherskiy,RU,2022-03-23 13:38:42,68.75,161.3,1.31,100,63,1.07
2,Kaitangata,NZ,2022-03-23 13:38:43,-46.2817,169.8464,57.09,96,5,3.53
3,Pankrushikha,RU,2022-03-23 13:38:43,53.8319,80.3406,23.65,94,100,18.21
4,Fortuna,US,2022-03-23 13:38:43,40.5982,-124.1573,49.93,96,100,0.0
5,Nome,US,2022-03-23 13:38:44,64.5011,-165.4064,12.27,44,0,4.61
6,Avanigadda,IN,2022-03-23 13:38:44,16.0215,80.9181,83.05,74,88,5.59
7,Kapaa,US,2022-03-23 13:38:44,22.0752,-159.319,72.19,86,75,17.27
8,Punta Arenas,CL,2022-03-23 13:38:44,-53.15,-70.9167,42.91,52,0,11.5
9,Castro,BR,2022-03-23 13:38:45,-24.7911,-50.0119,73.35,62,100,9.06
10,Mount Gambier,AU,2022-03-23 13:38:45,-37.8333,140.7667,49.91,87,18,3.44
11,Laguna,US,2022-03-23 13:38:45,38.421,-121.4238,58.44,83,0,3.44
12,Kalmunai,LK,2022-03-23 13:38:46,7.4167,81.8167,81.12,81,8,12.77
13,Severo-Kurilsk,RU,2022-03-23 13:38:46,50.6789,156.125,27.72,69,26,12.75
14,Hailar,CN,2022-03-23 13:38:46,49.2,119.7,6.85,96,27,4.9
15,Redlands,US,2022-03-23 13:38:47,34.0556,-117.1825,69.33,37,0,4.61
16,Luderitz,NA,2022-03-23 13:38:47,-26.6481,15.1594,72.68,64,0,15.26
17,Rawson,AR,2022-03-23 13:38:47,-43.3002,-65.1023,64.87,33,0,25.75
18,Mataura,NZ,2022-03-23 13:38:48,-46.1927,168.8643,55.38,98,77,2.66
19,East London,ZA,2022-03-23 13:38:48,-33.0153,27.9116,76.14,83,0,6.91
20,Vao,NC,2022-03-23 13:38:48,-22.6667,167.4833,76.77,66,33,9.26
21,Port Elizabeth,ZA,2022-03-23 13:38:49,-33.918,25.5701,80.1,71,20,6.91
