City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,3/23/2022 13:38,42.097,-79.2353,45.01,25,100,17.27
4,Fortuna,US,3/23/2022 13:38,40.5982,-124.1573,49.93,96,100,0
5,Nome,US,3/23/2022 13:38,64.5011,-165.4064,12.27,44,0,4.61
7,Kapaa,US,3/23/2022 13:38,22.0752,-159.319,72.19,86,75,17.27
11,Laguna,US,3/23/2022 13:38,38.421,-121.4238,58.44,83,0,3.44
15,Redlands,US,3/23/2022 13:38,34.0556,-117.1825,69.33,37,0,4.61
30,Avera,US,3/23/2022 13:38,33.194,-82.5271,66.25,84,100,17.52
32,Albany,US,3/23/2022 13:38,42.6001,-73.9662,35.67,55,100,1.01
33,Hilo,US,3/23/2022 13:36,19.7297,-155.09,71.33,89,100,5.01
54,Beachwood,US,3/23/2022 13:39,41.4645,-81.5087,46.9,73,100,24.16
66,Fairbanks,US,3/23/2022 13:39,64.8378,-147.7164,6.76,59,100,10.36
69,Kahului,US,3/23/2022 13:37,20.8947,-156.47,74.84,79,0,17.27
74,Hamilton,US,3/23/2022 13:36,39.1834,-84.5333,64.6,69,100,16.11
91,Barrow,US,3/23/2022 13:40,71.2906,-156.7887,-20.18,76,0,12.66
104,College,US,3/23/2022 13:39,64.8569,-147.8028,6.75,60,75,10.36
110,Littleton,US,3/23/2022 13:41,39.6133,-105.0166,36.09,53,0,5.75
136,Broome,US,3/23/2022 13:41,42.2506,-75.833,35.89,60,100,10.36
144,Saint Anthony,US,3/23/2022 13:42,45.0205,-93.218,34.25,93,100,14.97
147,Sitka,US,3/23/2022 13:42,57.0531,-135.33,37.29,87,100,0
158,Homer,US,3/23/2022 13:42,59.6425,-151.5483,35.04,68,100,11.99
166,San Patricio,US,3/23/2022 13:42,28.017,-97.5169,58.84,45,0,6.4
178,San Jose,US,3/23/2022 13:42,37.3394,-121.895,55.27,87,100,4.61
180,Sweetwater,US,3/23/2022 13:39,25.7634,-80.3731,81.01,78,100,19.57
206,Eureka,US,3/23/2022 13:43,40.8021,-124.1637,51.67,61,100,3.89
212,Ketchikan,US,3/23/2022 13:43,55.3422,-131.6461,40.98,93,75,8.05
224,Half Moon Bay,US,3/23/2022 13:39,37.4636,-122.4286,53.47,91,100,10.36
244,Marathon,US,3/23/2022 13:45,44.9,-89.7668,33.55,95,100,10.36
250,Griffith,US,3/23/2022 13:45,41.5284,-87.4237,54.39,94,100,8.05
253,Atkinson,US,3/23/2022 13:45,42.8384,-71.147,40.66,47,0,5.75
256,Portland,US,3/23/2022 13:43,45.5234,-122.6762,55.62,95,100,3.44
269,Lincoln,US,3/23/2022 13:45,40.8,-96.667,37.31,76,100,24.16
282,Kenai,US,3/23/2022 13:46,60.5544,-151.2583,29.08,65,40,16.11
287,Dillon,US,3/23/2022 13:42,34.4166,-79.3712,68.95,76,100,14.99
291,Salinas,US,3/23/2022 13:46,36.6777,-121.6555,55.56,93,100,3.44
301,Callaway,US,3/23/2022 13:46,30.153,-85.5699,68.92,96,100,23.02
303,Jackson,US,3/23/2022 13:46,42.4165,-122.8345,53.04,93,0,0
304,Centerville,US,3/23/2022 13:43,39.6284,-84.1594,63.25,71,100,10.36
305,Le Mars,US,3/23/2022 13:46,42.7942,-96.1656,36.91,87,100,21.85
321,Bethel,US,3/23/2022 13:47,41.3712,-73.414,42.03,48,100,10.36
357,Lompoc,US,3/23/2022 13:47,34.6391,-120.4579,68.77,89,0,5.75
381,Tooele,US,3/23/2022 13:48,40.5308,-112.2983,35.17,80,0,5.75
382,Worland,US,3/23/2022 13:48,44.0169,-107.9554,29.55,74,0,9.22
393,Bar Harbor,US,3/23/2022 13:48,44.3876,-68.2039,39.25,54,0,13
409,Dothan,US,3/23/2022 13:48,31.2232,-85.3905,71.8,94,100,13.8
413,Saint George,US,3/23/2022 13:50,37.1041,-113.5841,44.94,42,0,15.01
424,Kodiak,US,3/23/2022 13:50,57.79,-152.4072,29.71,93,100,3.44
431,Bud,US,3/23/2022 13:50,39.447,-86.1758,60.4,95,99,12.86
446,Wasilla,US,3/23/2022 13:50,61.5814,-149.4394,28.74,57,0,11.5
462,Palmer,US,3/23/2022 13:51,42.1584,-72.3287,40.24,44,40,6.91
465,Vermillion,US,3/23/2022 13:51,42.7794,-96.9292,35.76,80,100,20.11
472,Southbridge,US,3/23/2022 13:51,42.0751,-72.0334,40.3,48,91,3
493,Pueblo,US,3/23/2022 13:51,38.2545,-104.6091,37.42,54,0,11.5
501,Ocean City,US,3/23/2022 13:51,39.2776,-74.5746,49.01,69,100,13
507,Linda,US,3/23/2022 13:52,39.1277,-121.5508,64.58,85,0,0
527,Indian Head,US,3/23/2022 13:52,38.6001,-77.1622,54.95,57,0,7
528,North Platte,US,3/23/2022 13:52,41.1239,-100.7654,31.89,63,100,19.57
529,Baker City,US,3/23/2022 13:52,44.7749,-117.8344,43.59,100,100,3.44
537,Rexburg,US,3/23/2022 13:49,43.826,-111.7897,29.71,74,0,3.44
